slug,age,height,position
moises-isaac-caicedo-corozo,23,178.0,Midfielder
rodrigo-hernandez-cascante,28,190.0,Midfielder
oscar-bobb,21,174.0,Midfielder
scott-carson,39,188.0,Goalkeeper
jack-grealish,29,180.0,Midfielder
claudio-jeremias-echeverri,19,171.0,Midfielder
max-alleyne,19,185.0,Defender
nico-o-reilly,20,188.0,Midfielder
ilkay-gundogan,34,180.0,Midfielder
mateo-kovacic,31,177.0,Midfielder
nicolas-gonzalez-iglesias,23,188.0,Midfielder
erling-haland,24,194.0,Forward
thorsten-spike-brits,17,190.0,Goalkeeper
omar-marmoush,26,183.0,Forward
stefan-ortega-moreno,32,185.0,Goalkeeper
manuel-obafemi-akanji,29,186.0,Defender
bernardo-mota-veiga-de-carvalho-e-silva,30,173.0,Midfielder
abduqodir-husanov,21,186.0,Defender
kian-breckin,21,,Midfielder
james-mcatee,22,180.0,Midfielder
ederson-santana-de-moraes,31,188.0,Goalkeeper
jahmai-simpson-pusey,19,187.0,Defender
philip-foden,25,171.0,Midfielder
josko-gvardiol,23,185.0,Defender
matheus-luiz-nunes,26,183.0,Midfielder
rico-lewis,20,169.0,Defender
kevin-de-bruyne,33,181.0,Midfielder
ruben-santos-gato-alves-dias,28,187.0,Defender
jeremy-doku,23,173.0,Forward
savio-moreira-de-oliveira,21,179.0,Forward
divin-mubama,20,182.0,Forward
nathan-ake,30,180.0,Defender
john-stones,31,188.0,Defender
mahamadou-susoho-sissoho,20,175.0,Midfielder
vitor-de-oliveira-nunes-dos-reis,19,186.0,Defender
bilal-el-khannous,21,180.0,Midfielder
memeh-caleb-okoli,23,191.0,Defender
henry-cartwright,20,175.0,Midfielder
jakub-stolarczyk,24,194.0,Goalkeeper
ricardo-domingos-barbosa-pereira,31,175.0,Defender
stephy-alvaro-mavididi,27,182.0,Forward
kasey-mcateer,23,177.0,Midfielder
mads-hermansen,24,187.0,Goalkeeper
danny-ward-1993-06-22,31,191.0,Goalkeeper
harry-winks,29,178.0,Midfielder
woyo-coulibaly,26,188.0,Defender
boubakary-soumare,26,188.0,Midfielder
jamie-vardy,38,179.0,Forward
wout-faes,27,187.0,Defender
jannik-vestergaard,32,199.0,Defender
oliver-skipp,24,175.0,Midfielder
abdul-fatawu-issahaku,21,177.0,Forward
conor-coady,32,185.0,Defender
luke-thomas-2001-06-10,23,181.0,Defender
jordan-ayew,33,182.0,Forward
odsonne-edouard,27,187.0,Forward
james-justin,27,183.0,Defender
jake-evans-gb-eng,17,,Forward
victor-bernth-kristansen,22,181.0,Defender
bobby-reid,32,170.0,Forward
facundo-valentin-buonanotte,20,174.0,Midfielder
jeremy-monga,15,,Midfielder
daniel-iversen,27,193.0,Goalkeeper
michael-heinz-golding,19,178.0,Midfielder
onyinye-wilfred-ndidi,28,183.0,Midfielder
samuel-charles-braybrooke,21,,Midfielder
harry-souttar,26,200.0,Defender
olabade-aluko,18,,Defender
patson-daka,26,183.0,Forward
damian-emiliano-martinez,32,195.0,Goalkeeper
amadou-zeund-georges-mvom-onana,23,195.0,Midfielder
boubacar-kamara,25,184.0,Midfielder
morgan-rogers,22,187.0,Forward
marcus-rashford,27,180.0,Forward
axel-disasi,27,190.0,Defender
donyell-malen,26,176.0,Forward
robin-olsen,35,198.0,Goalkeeper
yasin-ozcan,19,185.0,Defender
leon-bailey-butler,27,178.0,Forward
matty-cash,27,185.0,Defender
triston-tye-rowe,18,183.0,Defender
thierry-alfred-farai-katsukunya,19,180.0,Defender
lamar-bogarde,21,183.0,Defender
lucas-digne,31,178.0,Defender
ross-barkley,31,189.0,Midfielder
sam-proctor,18,,Goalkeeper
bradley-paul-burrowes,17,,Midfielder
kortney-hause,29,191.0,Defender
oliwier-zych,20,193.0,Goalkeeper
marco-asensio-willemsen,29,182.0,Forward
pau-francisco-torres,28,191.0,Defender
jamaldeen-jimoh-aloba,18,183.0,Midfielder
jacob-ramsey,24,180.0,Midfielder
john-mcginn,30,178.0,Midfielder
benjamin-tomaso-broggio,18,181.0,Midfielder
ian-maatsen,23,178.0,Defender
ollie-watkins,29,180.0,Forward
aidan-gerald-borland,18,177.0,Midfielder
tyrone-mings,32,196.0,Defender
ezri-konsa-ngoyo,27,183.0,Defender
andres-garcia-robledo,22,185.0,Defender
youri-tielemans,28,176.0,Midfielder
jose-pedro-malheiro-de-sa,32,192.0,Goalkeeper
boubacar-traore-2001-08-20,23,183.0,Midfielder
carlos-roberto-forbs-borges,21,169.0,Forward
andre-trindade-da-costa-neto,23,176.0,Midfielder
jean-ricner-bellegarde,26,170.0,Midfielder
fletcher-holman,20,,Forward
thomas-doyle-2001-10-17,23,172.0,Midfielder
sam-johnstone,32,193.0,Goalkeeper
goncalo-manuel-ganchinho-guedes,28,179.0,Forward
mateus-bula-dami-mane,17,,Forward
